#ENV	ROLE	FQDN
QA	SKAM	ecam-qa-skam1.host-au.telematics.com
QA	APP	qa-app4.host-au.telematics.com
QA	APP	qa-app5.host-au.telematics.com
QA	DB	qa-db3.host-au.telematics.com
QA	DB	qa-db5.host-au.telematics.com
QA	IPSEC	qa-ipsec.host-au.telematics.com
QA	KCAPP	qa-kc-app1.host-au.telematics.com
QA	KCAPP	qa-kc-app2.host-au.telematics.com
QA	KCDB	qa-kc-db1.host-au.telematics.com
QA	KCDB	qa-kc-db2.host-au.telematics.com
QA	MON	qa-mon3.host-au.telematics.com
QA	MQ	qa-mq5.host-au.telematics.com
QA	MQ	qa-mq6.host-au.telematics.com
QA	PLDB	qa-pldb1.host-au.telematics.com
QA	VOIP	qa-voip2.host-au.telematics.com
QA	WEB	qa-web3.host-au.telematics.com
QA	WEB	qa-web4.host-au.telematics.com
TEST	SKAM	ecam-test-skam1.host-au.telematics.com
TEST	SKAM	ecam-test-skam2.host-au.telematics.com
TEST	???	ip-172-46-2-47
TEST	APP	test-app8.host-au.telematics.com
TEST	APP	test-app9.host-au.telematics.com
TEST	DB	test-db6.host-au.telematics.com
TEST	DB	test-db7.host-au.telematics.com
TEST	IPSEC	test-ipsec.host-au.telematics.com
TEST	KCAPP	test-kc-app1.host-au.telematics.com
TEST	KCAPP	test-kc-app2.host-au.telematics.com
TEST	KCDB	test-kc-db1.host-au.telematics.com
TEST	KCDB	test-kc-db2.host-au.telematics.com
TEST	MON	test-mon5.host-au.telematics.com
TEST	MQ	test-mq8.host-au.telematics.com
TEST	MQ	test-mq9.host-au.telematics.com
TEST	PLDB	test-pldb1.host-au.telematics.com
TEST	VOIP	test-voip2.host-au.telematics.com
TEST	WEB	test-web2.host-au.telematics.com
TEST	WEB	test-web5.host-au.telematics.com
STAGING	JENKINS	jenkins-slave2.host-au.telematics.com
STAGING	JENKINS	sre-jenkins-master-new.host-au.telematics.com
STAGING	JENKINS	sre-jenkins.host-au.telematics.com
STAGING	JENKINS	sre-jenkins1.host-au.telematics.com
STAGING	JENKINS	sre-jenkins2.host-au.telematics.com
STAGING	JENKINS	sre-jenkins3.host-au.telematics.com
STAGING	JENKINS	sre-jenkins4.host-au.telematics.com
STAGING	JENKINS	sre-jenkins5.host-au.telematics.com
STAGING	JENKINS	sre-maven2.host-au.telematics.com
STAGING	APP	stg-app19.host-au.telematics.com
STAGING	APP	stg-app20.host-au.telematics.com
STAGING	ARDB	stg-ardb1.host-au.telematics.com
STAGING	DB	stg-db12.host-au.telematics.com
STAGING	DB	stg-db13.host-au.telematics.com
STAGING	HA	stg-hae1.host-au.telematics.com
STAGING	HA	stg-hai1.host-au.telematics.com
STAGING	IPSEC	stg-ipsec.host-au.telematics.com
STAGING	KAFKA	stg-kafka.host-au.telematics.com
STAGING	KCAPP	stg-kc-app1.host-au.telematics.com
STAGING	KCAPP	stg-kc-app2.host-au.telematics.com
STAGING	KCDB	stg-kc-db1.host-au.telematics.com
STAGING	KCDB	stg-kc-db2.host-au.telematics.com
STAGING	MON	stg-mon6.host-au.telematics.com
STAGING	MQ	stg-mq21.host-au.telematics.com
STAGING	MQ	stg-mq22.host-au.telematics.com
STAGING	PLDB	stg-pldb3.host-au.telematics.com
STAGING	SKAM	stg-skam1.host-au.telematics.com
STAGING	SKAM	stg-skam2.host-au.telematics.com
STAGING	VOIP	stg-voip2
STAGING	WEB	stg-web5.host-au.telematics.com
STAGING	WEB	stg-web6.host-au.telematics.com
PRODUCTION	APP	app22.host-au.telematics.com
PRODUCTION	APP	app23.host-au.telematics.com
PRODUCTION	APP	app24.host-au.telematics.com
PRODUCTION	APP	app25.host-au.telematics.com
PRODUCTION	ARDB	ardb1.host-au.telematics.com
PRODUCTION	DB	db11.host-au.telematics.com
PRODUCTION	DB	db12.host-au.telematics.com
PRODUCTION	IPSEC	ipsec.host-au.telematics.com
PRODUCTION	KCAPP	kc-app1.host-au.telematics.com
PRODUCTION	KCAPP	kc-app2.host-au.telematics.com
PRODUCTION	KCAPP	kc-app3.host-au.telematics.com
PRODUCTION	KCDB	kc-db1.host-au.telematics.com
PRODUCTION	KCDB	kc-db2.host-au.telematics.com
PRODUCTION	MON	mon4.host-au.telematics.com
PRODUCTION	MQ	mq20.host-au.telematics.com
PRODUCTION	MQ	mq21.host-au.telematics.com
PRODUCTION	MQ	mq22.host-au.telematics.com
PRODUCTION	MQ	mq23.host-au.telematics.com
PRODUCTION	MQ	mq24.host-au.telematics.com
PRODUCTION	MQ	mq25.host-au.telematics.com
PRODUCTION	OSS	oss1.host-au.telematics.com
PRODUCTION	PLDB	pldb1.host-au.telematics.com
PRODUCTION	SKAM	skam1.host-au.telematics.com
PRODUCTION	AREPO	srauck1.host-au.telematics.com
PRODUCTION	AREPO	srauck2.host-au.telematics.com
PRODUCTION	AREPO	srggl1.host-au.telematics.com
PRODUCTION	AREPO	srggl2.host-au.telematics.com
PRODUCTION	AREPO	srmel1.host-au.telematics.com
PRODUCTION	AREPO	srmex1.host-au.telematics.com
PRODUCTION	AREPO	srmex2.host-au.telematics.com
PRODUCTION	AREPO	srmk1.host-au.telematics.com
PRODUCTION	AREPO	srmk2.host-au.telematics.com
PRODUCTION	AREPO	srsyd1.host-au.telematics.com
PRODUCTION	AREPO	srsyd2.host-au.telematics.com
PRODUCTION	VOIP	voip3.host-au.telematics.com
PRODUCTION	WEB	web1.host-au.telematics.com
PRODUCTION	WEB	web2.host-au.telematics.com
PRODUCTION	WEB	web3.host-au.telematics.com
PRODUCTION	WEBROR	webror.host-au.telematics.com
US	APP	app5.host-us.telematics.com
US	APP	app6.host-us.telematics.com
US	APP	app7.host-us.telematics.com
US	ARDB	ardb1.host-us.telematics.com
US	DB	db7.host-us.telematics.com
US	DB	db8.host-us.telematics.com
US	DBARCHIVE	dbarchive.host-us.telematics.com
US	IPSEC	ipsec.host-us.telematics.com
US	KCAPP	kc-app1.host-us.telematics.com
US	KCAPP	kc-app2.host-us.telematics.com
US	KCAPP	kc-app3.host-us.telematics.com
US	KCDB	kc-db1.host-us.telematics.com
US	KCDB	kc-db2.host-us.telematics.com
US	MON	mon3.host-us.telematics.com
US	MQ	mq12.host-us.telematics.com
US	MQ	mq13.host-us.telematics.com
US	MQ	mq14.host-us.telematics.com
US	OSS	oss1.host-us.telematics.com
US	PLDB	pldb2.host-us.telematics.com
US	WEB	web1.host-us.telematics.com
US	WEB	web2.host-us.telematics.com
US	WEB	web3.host-us.telematics.com
UK	APP	app5.host-uk.telematics.com
UK	APP	app6.host-uk.telematics.com
UK	APP	app7.host-uk.telematics.com
UK	ARDB	ardb1.host-uk.telematics.com
UK	DB	db7.host-uk.telematics.com
UK	DB	db8.host-uk.telematics.com
UK	DBDR	dbdr1.host-uk.telematics.com
UK	DBDR	dbdr2.host-uk.telematics.com
UK	IPSEC	ipsec.host-uk.telematics.com
UK	KCAPP	kc-app1.host-uk.telematics.com
UK	KCAPP	kc-app2.host-uk.telematics.com
UK	KCAPP	kc-app3.host-uk.telematics.com
UK	KCDB	kc-db1.host-uk.telematics.com
UK	KCDB	kc-db2.host-uk.telematics.com
UK	MON	mon3.host-uk.telematics.com
UK	MQ	mq10.host-uk.telematics.com
UK	MQ	mq9.host-uk.telematics.com
UK	OSS	oss1.host-uk.telematics.com
UK	PLDB	pldb2.host-uk.telematics.com
UK	WEB	web1.host-uk.telematics.com
UK	WEB	web2.host-uk.telematics.com
MX	APP	app3.host-mx.telematics.com
MX	APP	app4.host-mx.telematics.com
MX	ARDB	ardb1.host-mx.telematics.com
MX	DB	db5.host-mx.telematics.com
MX	DB	db6.host-mx.telematics.com
MX	IPSEC	ipsec.host-mx.telematics.com
MX	KCAPP	kc-app1.host-mx.telematics.com
